"","date","government_name","government_ID","petrol","diesel","bottled_water","treated_water","soap","laundry_powder","sanitary_napkins","cost_cubic_meter","exchange_rates","num_obs"
"287","2018-08-01","Hajjah","YE17",435,445,120,100,133.333333333333,100,500,2000,NA,38
"288","2018-08-01","Al Hudaydah","YE18",415,440,130,100,137.5,104.545454545455,400,1500,NA,30
"289","2018-08-01","Dhamar","YE20",410,410,110,90,125,90,370,3500,NA,10
"290","2018-08-01","Sa'ada","YE22",450,400,120,100,200,128.571428571428,455,1000,NA,13
"291","2018-08-01","Sana'a","YE23",400,380,115,100,146.666666666667,100,440,1200,NA,36
"292","2018-08-01","Aden","YE24",330,330,105,200,125,109.090909090909,450,5000,NA,23
"293","2018-08-01","Lahj","YE25",365,370,50,300,187.5,72.7272727272727,400,750,NA,9
"294","2018-08-01","Al Dhale'e","YE30",382.5,385,130,250,137.5,100,425,1700,NA,18
"295","2018-08-01","Raymah","YE31",450,425,120,300,150,100,475,6000,NA,9
"296","2018-08-01","Socotra","YE32",230,230,115,NA,125,115,600,1150,NA,2
"297","2018-07-01","Ibb","YE11",375,375,100,200,129.166666666667,65,400,1900,NA,12
"298","2018-07-01","Sana'a City","YE13",375,375,80,90,80,70,400,1000,NA,114
"299","2018-07-01","Al Bayda","YE14",370,355,100,80,120,90,450,1500,NA,7
"300","2018-07-01","Taizz","YE15",390,390,100,100,122.5,109.090909090909,425,1000,NA,31
"301","2018-07-01","Al Jawf","YE16",250,345,100,NA,378.571428571429,121.428571428571,NA,1200,NA,4
"302","2018-07-01","Hajjah","YE17",375,375,100,60,133.333333333333,100,400,3000,NA,35
"303","2018-07-01","Al Hudaydah","YE18",375,375,120,70,142.857142857143,95,350,1500,NA,24
"304","2018-07-01","Sa'ada","YE22",375,375,100,80,137.5,100,450,750,NA,22
"305","2018-07-01","Sana'a","YE23",375,375,100,100,120,80,400,1000,NA,37
"306","2018-07-01","Aden","YE24",360,NA,100,275,142.857142857143,119.545454545455,290,5000,NA,12
"307","2018-07-01","Lahj","YE25",330,360,100,100,142.857142857143,118.181818181818,300,750,NA,13
"308","2018-07-01","Al Dhale'e","YE30",350,360,120,200,100,50,450,2150,NA,11
"309","2018-07-01","Socotra","YE32",230,235,100,NA,100,70,450,1000,NA,1
"310","2018-06-01","Ibb","YE11",375,375,100,100,120,80,380,2000,NA,15
"311","2018-06-01","Sana'a City","YE13",375,375,80,100,100,70,400,1000,NA,110
"312","2018-06-01","Al Bayda","YE14",365,380,80,90,95,80,441.666666666667,1000,NA,6
"313","2018-06-01","Taizz","YE15",360,355,100,100,100,70,450,1200,NA,29
"314","2018-06-01","Al Jawf","YE16",NA,NA,NA,NA,NA,NA,NA,1300,NA,1
"315","2018-06-01","Hajjah","YE17",371.5,372.5,100,NA,100,95.4545454545455,400,3000,NA,20
"316","2018-06-01","Al Hudaydah","YE18",380,377.5,100,140,100,90,300,500,NA,31
"317","2018-06-01","Dhamar","YE20",NA,NA,90,55,90,80,300,NA,NA,4
